Brand,EAN,Product Name
LEGO,5702017425207,Audi RS Q e-tron
VOX,8606033880576,VOX WMI 1080-T15A
CANDY, 8059019044200, CANDY RP 5106BWMBC/1-S
,8013298211142,LAVOR PREDATOR 160 WPS 
